categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
1,0,ALL MEN'S SHOES,4,1,,10/5/2016 14:03,2,1,3,50,N,N,Y,N,N,1,,,Newest,ALL MEN'S SHOES,TOP,N,,,,,,N,,1463488533,,4
2,1,Boots,0,,,9/13/2016 13:21,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Boots,TOP,N,,,,,,N,ALL MEN'S SHOES,,,3
5,34,Dress Slip-On,0,,,5/9/2016 14:19,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Dress_Slip_On,TOP,N,,,,,,N,ALL MEN'S SHOES > Dress Shoes,,1,3
6,34,Dress Tie,0,,,5/9/2016 14:20,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Dress_Tie,TOP,N,,,,,,N,ALL MEN'S SHOES > Dress Shoes,,1,3
7,0,ALL WOMEN'S SHOES,3,1,,10/5/2016 14:01,2,1,4,50,N,N,Y,N,N,7,"Reyers has an excellent selection of Womens Shoes, Sandals, Boots, and more.  Ugg, Bearpaw, you name it","Reyers has an excellent selection of Womens Shoes, Sandals, Boots, and more.  Ugg, Bearpaw, you name it",Newest,ALL WOMEN'S SHOES,TOP,N,,,"Womens shoes, boots, sandals, pumps, heels, slippers",,,N,,1469778797,,4
8,7,Clogs,3,,,5/9/2016 13:12,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Clogs,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,3
9,7,Evening,4,,,5/9/2016 13:13,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Evening_Shoes,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,3
13,7,Boots,1,,,10/5/2016 14:01,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Boots,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,4
14,13,Dress Boots,0,,,5/9/2016 13:10,2,1,3,5,Y,Y,Y,N,N,7,,,Newest,Womens_Dress_Boots,TOP,N,,,,,,N,ALL WOMEN'S SHOES > Boots,,1,3
15,13,Cold Weather,0,,,5/9/2016 13:10,2,1,3,5,Y,Y,Y,N,N,7,,,Newest,Womens_Cold_Weather_Boots,TOP,N,,,,,,N,ALL WOMEN'S SHOES > Boots,,1,3
16,13,Western Boots,0,,,5/9/2016 13:11,2,1,3,5,Y,Y,Y,N,N,7,,,Newest,Womens_Western_Boots,TOP,N,,,,,,N,ALL WOMEN'S SHOES > Boots,,1,3
19,7,Casual,2,,,5/9/2016 13:11,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Casual_Shoes,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,3
29,7,Sandals,10,,,5/9/2016 13:13,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Sandals,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,3
32,7,Slippers,9,,,5/9/2016 13:13,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Slippers,TOP,N,,,,,,N,ALL WOMEN'S SHOES,,1,3
33,1,Casual Shoes,0,,,5/9/2016 14:19,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Casual_Shoes,TOP,N,,,,,,N,ALL MEN'S SHOES,,1,3
34,1,Dress Shoes,0,,,9/13/2016 13:22,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Dress_Shoes,TOP,N,,,,,,N,ALL MEN'S SHOES,,,3
35,1,Athletic Shoes,0,,,10/5/2016 14:05,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Athletic_Shoes,TOP,N,,,,,,N,ALL MEN'S SHOES,1463488648,,4
36,35,Running,1,,,5/9/2016 14:18,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Running,TOP,N,,,,,,N,ALL MEN'S SHOES > Athletic Shoes,,1,3
38,35,Walking,1,,,5/9/2016 14:18,2,1,3,50,N,N,Y,N,N,1,,,Newest,Mens_Walking,TOP,N,,,,,,N,ALL MEN'S SHOES > Athletic Shoes,,1,3
39,7,Athletics,0,,,10/5/2016 13:42,2,1,3,50,Y,Y,Y,N,N,7,,,Newest,Womens_Athletic_Shoes,TOP,N,,,,,,N,ALL WOMEN'S SHOES,1463488681,,4
40,39,Running,0,,,5/9/2016 13:07,2,1,3,5,Y,Y,Y,N,N,7,,,Newest,Womens_Running,TOP,N,,,,,,N,ALL WOMEN'S SHOES > Athletics,,1,3
41,39,Cross Trainers,0,,,5/9/2016 13:06,2,1,3,5,Y,Y,Y,N,N,7,,,Newest,Womens_Cross_Trainers,TOP,N,,,,,,N,ALL WOMEN'S SHOES > Athletics,,1,3
