id,optioncatid,optionsdesc,arrangeoptionsby
2,1,Brown,83
20,1,Black,10
21,1,Taupe,215
31,1,Red,184
32,1,Bone,2
33,1,Pewter,104
34,1,White,217
36,1,Wine,220
44,1,Grey,90
45,1,Tan,213
46,1,Blue,230
47,1,Green,89
48,1,Royal,187
49,1,Turquoise,216
52,1,Navy,96
53,1,Camel,84
73,1,Pink,106
74,1,Clear,85
75,1,Lime,231
76,1,Silver,190
77,1,Bronze,29
81,1,Natural,229
83,1,Olive,97
84,1,White/Black,218
91,1,White/Navy,219
92,1,White/Grey,247
93,1,Purple,182
94,1,Sage,237
95,1,White/Silver,254
96,1,White/Blue,246
97,1,Denim,86
98,1,Khaki,235
99,1,Bright Multi,222
100,1,Metal Multi,223
101,1,Gold,88
102,1,White/Pink,253
104,1,White/Red,252
105,1,Fuchsia,87
106,1,Beige,256
107,1,Pastel Multi,228
108,1,White/Lime,248
109,1,Yellow,221
110,1,Lilac,92
111,1,Orange,100
112,1,White Multi,257
113,1,Neon Jade,
114,1,Multi,
115,1,Grey/Red,
116,1,Grey/Black,
117,1,Grey/Light Blue,
118,1,Multi/Leopard,
119,1,Grey/Multi,
120,1,Grey/Blue,
121,1,Corral,
122,1,Nude,
123,1,Multi/Zebra,
124,1,Coral,
125,1,Coffee,
126,1,White/Purple,
127,1,Amaretto,
128,1,Taupe/Multi,
129,1,Blue/Multi,
130,1,Leopard,
131,1,Black/White,
132,1,Tan/Natural,
133,1,Grey/Green,
134,1,Black/Brown,
135,1,Blue/Silver,
136,1,Blue/Green,
137,1,Black/Yellow,
138,1,Orange/Multi,
139,1,Black/White,
140,1,Green/Multi,
141,1,Black/Multi,
142,1,Beige/Multi,
143,1,Pink/Grey,
144,1,Black/Silver,
145,1,Yellow/Purple,
146,1,Tiger Print,
147,1,Leopard Print,
148,1,Chocolate,
149,1,Black Rose,
150,1,Pink/Multi,
151,1,Red/Multi,
152,1,Yellow/Multi,
153,1,Black Patent,
154,1,Red/Tan,
155,1,Orange/Multi,
156,1,Fuchsia/Multi,
157,1,Tan/Multi,
158,1,Zebra Print,
159,1,Black/Red,
160,1,Black/Grey,
161,1,Black/Burgundy,
162,1,Green Hawaii,
163,1,Multi Raindrop,
164,1,Sand Stripe,
165,1,Gold/Silver,
166,1,Cork,
167,1,Dark Brown,
168,1,Brandy,
169,1,Navy/Taupe,
170,1,Rainbow,
171,1,White/Blue,
172,1,Navy Multi,
173,1,Brown Multi,
174,1,Pink Multi,
175,1,Almond,
176,1,Gold Multi,
177,1,Champagne,
179,1,Aruba Blue,
180,1,Dark Grey,
181,1,Multi Painterly,
182,1,Floral Multi,
183,1,Black/Pink,
184,1,Black Multi,
185,1,Black/Multi,
186,1,Ivory,
187,1,Black/Leopard,
188,1,Natural Multi,
189,1,Bright Blue,
190,1,Forest,
191,1,Purple/Multi,
192,1,Red/Multi,
193,1,Silver/Multi,
194,1,Grey/Pink,
195,1,Mint,
196,1,Aqua,
197,1,White/Natural,
198,1,Teal,
199,1,Grey Multi,
200,1,Green Multi,
201,1,Tan Multi,
202,1,Blue Multi,
203,1,Taupe Multi,
204,1,Champagne,
205,1,Turquoise Mult,
206,1,Yellow Multi,
207,1,Fuchsia Multi,
208,1,Purple Multi,
209,1,Brite Multi,
210,1,Pewter Multi,
211,1,Ivory,
212,1,Black Multi,
213,1,Brite Blue,
214,1,Copper,
215,1,Celadon,
216,1,Bone Multi,
225,1,Rose Gold,
4,3,11.5,52
5,3,6.5,42
6,3,13,55
7,3,7.5,44
8,3,8.5,46
9,3,9.5,48
10,3,11,51
11,3,6,41
12,3,12,53
13,3,7,43
14,3,14,57
15,3,8,45
16,3,9,47
17,3,10,49
22,3,5,39
23,3,10.5,50
24,3,5.5,40
37,3,16,61
38,3,15,59
54,3,17,63
55,3,12.5,54
57,3,38,150
58,3,41,156
59,3,37,148
60,3,39,152
61,3,40,154
62,3,36,146
63,3,13.5,56
64,3,46,166
65,3,48,170
66,3,50,174
67,3,43,160
68,3,45,164
69,3,47,168
70,3,49,172
71,3,42,158
72,3,44,162
79,3,18,65
82,3,35,144
85,3,4,37
86,3,4.5,38
87,3,M,240
88,3,S,239
89,3,L,241
103,3,XL,242
178,3,3,
19,18,D (M),202
39,18,C,201
40,18,E (W),203
41,18,B (N),200
42,18,EEE (WW),205
43,18,A,199
50,18,EEEEE,207
51,18,EEEE (WWW),206
78,18,EE(XW),204
80,18,EEEEEE,225
90,18,AA,198
26,25,M (B),112
27,25,"WW (E, EE)",114
28,25,N (AA),111
29,25,"W (C, D)",113
30,25,S (AAA),110
35,25,SS (AAAA),109
56,25,WWWW (EEEE),224
217,25,6A,
218,25,4A,
219,25,AA,
220,25,B,
221,25,D,
222,25,EE,
223,25,4E,
224,25,6E,
